iter	Passed	Remaining
875	11882	1682
876	11895	1668
877	11907	1654
878	11918	1640
879	11930	1626
880	11941	1612
881	11952	1599
882	11963	1585
883	11978	1571
884	11991	1558
885	12002	1544
886	12015	1530
887	12025	1516
888	12037	1502
889	12048	1489
890	12061	1475
891	12074	1461
892	12085	1448
893	12098	1434
894	12111	1420
895	12123	1407
896	12134	1393
897	12146	1379
898	12159	1366
899	12173	1352
900	12186	1339
901	12200	1325
902	12214	1312
903	12226	1298
904	12239	1284
905	12252	1271
906	12266	1257
907	12278	1244
908	12290	1230
909	12302	1216
910	12314	1203
911	12327	1189
912	12340	1175
913	12353	1162
914	12368	1148
915	12379	1135
916	12391	1121
917	12404	1108
918	12417	1094
919	12430	1080
920	12442	1067
921	12455	1053
922	12469	1040
923	12481	1026
924	12496	1013
925	12509	999
926	12523	986
927	12534	972
928	12546	958
929	12559	945
930	12571	931
931	12583	918
932	12595	904
933	12607	890
934	12622	877
935	12635	863
936	12649	850
937	12661	836
938	12678	823
939	12693	810
940	12711	797
941	12726	783
942	12741	770
943	12760	756
944	12774	743
945	12791	730
946	12808	716
947	12824	703
948	12839	690
949	12856	676
950	12874	663
951	12886	649
952	12898	636
953	12909	622
954	12924	608
955	12936	595
956	12946	581
957	12960	568
958	12971	554
959	12983	540
960	12996	527
961	13011	513
962	13024	500
963	13038	486
964	13053	473
965	13067	459
966	13081	446
967	13095	432
968	13111	419
969	13125	405
970	13139	392
971	13156	378
972	13172	365
973	13186	352
974	13200	338
975	13213	324
976	13228	311
977	13240	297
978	13254	284
979	13266	270
980	13279	257
981	13289	243
982	13302	230
983	13315	216
984	13326	202
985	13337	189
986	13350	175
987	13362	162
988	13374	148
989	13386	135
990	13401	121
991	13418	108
992	13433	94
993	13449	81
994	13464	67
995	13477	54
996	13491	40
997	13504	27
998	13520	13
999	13535	0
